Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
2012,65664,Diesel,Automatic,First,16.55,1968,140,5,13.5
2007,63000,Petrol,Automatic,Second,16.4,1497,78,5,1.85
2019,15369,Diesel,Automatic,First,,1950,194,5,35.67
2016,63000,Diesel,Manual,First,24.52,1248,88.5,7,8.15
2018,13000,Diesel,Manual,First,22.1,1396,88.7,5,10.5
2008,73000,Petrol,Automatic,First,8.5,4806,500,5,14.5
2015,55729,Diesel,Manual,First,15.1,2179,140,7,9.65
2012,45178,Petrol,Automatic,First,16.95,1197,78.9,5,3.48
2015,56066,Diesel,Manual,First,19.64,1461,108.5,5,6.92
2016,37300,Petrol,Automatic,Second,16.5,1198,86.8,5,6.46
2014,56000,Diesel,Automatic,Second,18.53,1968,187.74,5,29.5
2008,111111,Diesel,Manual,First,17.8,1399, ,5,2
2006,230000,Petrol,Manual,Third,12.4,1998,132,8,4.5
2012,104000,Diesel,Manual,First,12.8,2494,102,7,11.75
2005,87591,Petrol,Manual,First,,1086, ,5,1.3
2012,95100,Diesel,Manual,First,22.9,1248,74,5,3.75
2017,70000,Petrol,Manual,First,17.57,1193,88.7,5,4.5
2016,54944,Petrol,Manual,First,18,1198,86.7,5,4.82
2012,70337,Diesel,Manual,First,20,1399,68,5,2.8
2013,99638,Diesel,Manual,First,23.2,1248,73.94,5,3.11
2009,52000,Petrol,Manual,First,17.8,1497,117.3,5,3.25
2011,75000,Diesel,Automatic,Second,16.73,1995,218,5,13.9
2009,95980,Petrol,Manual,First,20.36,1197,78.9,5,2.25
2016,16000,Petrol,Manual,First,18.9,1197,82,5,5.75
2007,73745,Petrol,Manual,First,17,1086, ,5,2.1
2016,18949,Petrol,Manual,First,17.8,1198,86.7,5,5
2014,107000,Diesel,Manual,First,13,2982,168.5,7,16.5
2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5,39.58
2013,57000,Diesel,Manual,First,22.7,1498,89.84,5,5.5
2014,58000,Diesel,Manual,First,15.1,2179,140,7,8.1
2015,30000,Diesel,Manual,First,25.8,1498,98.6,5,3.5
2013,34212,Diesel,Manual,First,22.07,1199,73.9,5,2.79
2010,70002,Diesel,Manual,First,16.2,1493,110,5,3.45
2016,62000,Petrol,Manual,First,18.9,998,67.1,5,4.45
2010,62001,Petrol,Manual,First,15.26,1598,103.5,5,2.65
2011,78958,Diesel,Manual,Second,23,1396,90,5,3.8
2014,30180,Petrol,Manual,First,18.5,1197,82.85,5,4.65
2017,32851,Petrol,Manual,First,19.83,1198,67,7,3.95
2010,30000,Diesel,Automatic,First,14.94,2967,241.4,5,9.8
2009,66000,Petrol,Manual,Second,17,1197,80,5,2.7
2010,93850,Petrol,Manual,First,14,796,35,5,2.41
2014,53000,Petrol,Manual,First,17.71,1197,78.9,5,3.9
2011,78000,Diesel,Automatic,Second,14.74,2993,270.9,5,24
2012,65000,Diesel,Manual,Second,16,2179,140,7,5.75
2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5,5.25
2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7,19.25
2017,38053,Petrol,Manual,First,15.1,1196,73,5,3.91
2014,25500,Petrol,Manual,First,25.4,624,37.5,4,2.15
2015,56087,Diesel,Automatic,First,22.69,1995,190,5,20.75
2010,71088,Petrol,Manual,First,13.5,1799,130,5,3.35
2014,55000,Diesel,Manual,First,12.99,2494,100.6,7,11.11
2014,32700,Diesel,Automatic,First,23.3,1984,150,5,20
2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5,6.55
2009,128000,Petrol,Automatic,First,10.8,2497,215,5,7
2016,55000,Diesel,Manual,First,24.3,1248,88.5,5,7.5
2005,102000,Petrol,Manual,Second,17,1086, ,5,0.85
2014,53753,Diesel,Automatic,Second,15,2143,107.3,5,16.75
2018,10250,Diesel,Manual,First,22,1582,126.2,5,10.95
2011,43874,Petrol,Manual,First,18.9,998,67.1,5,2.45
2017,32684,Petrol,Automatic,First,21.9,624,37.48,4,3.23
2014,42000,Diesel,Manual,First,12.05,2179,120,8,7.75
2009,28352,Petrol,Automatic,First,11.7,1796,178,5,9.35
2013,89900,,Manual,First,,998,58.16,5,3.25
2007,47700,Petrol,Manual,Second,10.8,2354,152,5,5.25
2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5,7.25
2017,44285,Petrol,Manual,First,20.73,1373,91.1,5,7.47
2016,54000,Diesel,Automatic,First,16,2179,140,7,13.25
2016,30232,Petrol,Manual,First,21.1,1197,85.8,5,5.81
2014,88500,Petrol,Manual,First,24.07,998,67.1,5,2.6
2017,13372,Petrol,Automatic,First,19,2996,362.07,,54
2019,12645,Petrol,Automatic,First,17,1591,121.3,5,11.5
2010,94385,Petrol,Manual,Second,19.7,796,46.3,5,1.6
2015,31821,Diesel,Automatic,First,20.58,1995,143,5,17.22
2015,12000,Petrol,Automatic,First,19,1199,88.7,5,6
2012,88578,Petrol,Manual,First,13.5,1799,130,5,3.95
2014,44965,Diesel,Automatic,First,19.27,2143,170,5,17.95
2014,45044,Diesel,Manual,First,25.8,1498,98.6,5,3.7
2016,34204,Petrol,Manual,First,22,1197,81.8,5,5.43
2008,80759,Petrol,Manual,Third,17,1086, ,5,1.67
2012,91235,Diesel,Manual,First,11.5,2982,171,7,13.49
2014,38800,Petrol,Manual,First,18.6,1199,76.8,5,2.85
2013,83000,Diesel,Manual,First,21.14,1498,103.52,5,4.75
2018,41283,Petrol,Manual,First,20.73,1373,91.1,5,9.9
2013,23000,Petrol,Automatic,First,11.05,2894,444,4,37
2014,48000,Diesel,Automatic,First,21.76,1995,190,5,26.5
2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5,23.32
2016,35000,Diesel,Manual,First,22.9,1248,74,5,6.25
2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5,30
2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5,9.86
2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5,8.5
2019,14322,Petrol,Manual,First,21.1,814,55.2,5,4.23
2012,65634,Diesel,Manual,First,22.07,1199,73.9,5,3.5
2016,6000,Petrol,Manual,First,20.63,1198,67.06,5,2.5
2013,33280,Petrol,Manual,First,19.4,1198,86.8,5,2.39
2013,29000,Petrol,Automatic,First,14.8,1595,120.7,5,11.25
2015,42831,Diesel,Manual,First,26,1498,98.6,5,7.11
2016,90000,Diesel,Manual,First,12.99,2494,100.6,7,10.9
2017,24005,Petrol,Manual,First,20.4,1197,81.8,5,6.2
2012,32792,Diesel,Manual,First,15.1,2179,140,7,7.9
2014,147898,Diesel,Manual,First,22.7,1498,89.84,5,4.42
2012,131765,Diesel,Manual,First,13,2982,168.5,7,13.5
2013,65000,Diesel,Automatic,First,21.5,1498,108.5,5,6.25
2010,66123,Diesel,Manual,Second,20,1399,68,5,2.1
2015,41000,Diesel,Automatic,First,15.3,2993,258,5,45
2017,23550,Diesel,Automatic,First,19.27,2143,167.62,5,33.66
2012,45000,Petrol,Manual,Second,19.4,1198,86.8,5,3.65
2013,60000,Petrol,Manual,First,20.36,1197,78.9,5,2.75
2016,44414,Diesel,Automatic,First,17.9,2143,170,5,42.5
2019,1000,Petrol,Manual,First,18.9,1197,81.86,5,6.5
2012,62500,Diesel,Automatic,Second,17.68,1968,174.33,5,19
2013,21000,Petrol,Automatic,Second,14.4,1598,103.6,5,4.45
2017,8525,Diesel,Automatic,Second,16.6,1998,112,5,23
2014,29000,Diesel,Manual,First,22.54,1396,88.73,5,8.35
2014,40000,Diesel,Automatic,First,17.68,1968,174.33,5,22.95
2012,88000,Diesel,Manual,First,25.44,936,57.6,5,1.5
2012,53537,Petrol,Automatic,First,13.7,1798,157.75,5,6.89
2006,216000,Diesel,Manual,Second,17.8,1399,68,5,1.45
2014,51000,Diesel,Automatic,First,22.48,1995,190,5,33.5
2007,118500,Petrol,Manual,First,12.9,1598,102.5,5,1.25
2012,63000,Diesel,Manual,First,22.07,1199,73.9,5,4.2
2015,25000,Diesel,Manual,First,19.98,1461,108.5,8,6.75
2014,37382,Diesel,Automatic,First,13,2143,201.1,5,32
2017,24773,Petrol,Manual,First,21.4,1197,83.1,5,7.5
2012,62000,Diesel,Manual,First,22.32,1582,126.32,5,4.6
2017,52340,Petrol,Manual,First,19.81,1086,68.05,5,4.04
2016,56739,Diesel,Manual,First,15.4,1997,120,7,10.31
2018,36091,Diesel,Automatic,First,12.7,2179,187.7,5,55.76
2010,120000,Diesel,Manual,First,20,1399,68,5,2.6
2016,33000,Diesel,Manual,First,25.47,1248,88.5,7,8.5
2007,60006,Petrol,Manual,First,,,,,2.95
2014,52000,Diesel,Manual,First,25.8,1498,98.6,5,3.5
2015,43571,Petrol,Manual,First,20.36,1197,78.9,5,3.55
2013,50000,Diesel,Manual,First,25.8,1498,98.6,5,3.25
2008,113000,Diesel,Manual,First,17.5,1896,106,5,4.5
2014,90000,Diesel,Manual,First,19.87,1461,83.8,5,5.35
2017,29000,Diesel,Manual,Second,17.45,1493,100,7,6.5
2016,20000,Diesel,Manual,First,24.3,1248,88.5,5,9
2016,61012,Petrol,Manual,First,18.6,1197,81.83,5,6
2009,87459,Petrol,Manual,First,14.7,1390,85,5,2.75
2010,70500,Petrol,Manual,First,15.64,1193,64.1,5,1.5
2015,64103,Diesel,Automatic,First,15.73,1968,174.33,5,19.9
2014,76000,Petrol,Automatic,First,14.7,1798,177.5,5,10
2014,104000,Diesel,Manual,First,23.59,1364,67.06,5,3
2010,42001,Petrol,Manual,First,16.1,,,,2.11
2014,37245,Petrol,Automatic,First,14.8,1595,120.7,5,11.96
2013,45000,Diesel,Manual,First,27.4,1498,98.6,5,3.25
2012,117837,Diesel,Manual,Second,22.32,1582,126.32,5,4.75
2014,30000,Diesel,Manual,First,20.46,1461,83.8,5,5.95
2015,27057,Petrol,Manual,Second,15.29,1591,121.3,5,8.15
2016,8500,Petrol,Automatic,First,20.51,998,67,5,4.22
2010,30500,Petrol,Automatic,First,11.74,1796,186,5,10.5
2012,56000,Diesel,Automatic,First,11.8,2967,246.7,5,45
2012,44000,Petrol,Manual,Second,19.81,1086,68.05,5,2.9
2017,10500,Petrol,Automatic,First,14.3,1598,103.52,5,8.9
2017,26000,Petrol,Automatic,First,14.67,1798,177.46,5,26
2018,25166,Petrol,Manual,First,17.19,1197,81.86,5,8.22
2014,64000,Diesel,Manual,Second,25.8,1498,98.6,5,3.5
2004,61000,Petrol,Manual,Second,18.9,998,67.1,5,1.25
2013,107000,Diesel,Manual,First,21.03,1461,65,5,3.7
2018,29161,Diesel,Automatic,First,19.27,2143,167.62,5,39.41
2013,32000,Petrol,Manual,First,22.5,998,67.04,5,2.65
2015,46173,Diesel,Manual,Second,19.01,1461,108.5,5,8.92
2013,47000,Diesel,Manual,First,17.8,1248, ,5,4.1
2017,26327,Petrol,Automatic,First,16.82,1998,189.08,4,35.67
2015,70436,Diesel,Manual,First,,1498,99,,3.6
2007,200000,Diesel,Manual,Second,17.2,1396,53.5,5,0.85
2016,60813,Petrol,Manual,Second,18.6,1199,76.8,5,3.32
2012,45000,Diesel,Manual,First,22.07,1199,73.9,5,3.6
2016,64000,Diesel,Manual,First,22.9,1248,74,5,6.8
2012,41284,Diesel,Manual,First,20,1399,68.05,5,2.5
2019,14165,Diesel,Automatic,First,11.36,2755,171.5,7,19.64
2011,67000,Diesel,Automatic,Second,11.72,2199,194.3,7,7
2011,32572,Petrol,Manual,First,17.4,1497,117.3,5,3.87
2018,14960,Petrol,Manual,First,18.6,1197,81.83,5,6.27
2015,55980,Diesel,Automatic,First,19.27,2143,167.62,5,18.12
2013,74000,Diesel,Manual,First,25.44,936,57.6,5,2.65
2015,56847,Diesel,Manual,First,22.54,1396,88.73,5,7.2
2015,121374,Diesel,Manual,First,12.99,2494,100.6,7,14.3
2013,52000,Diesel,Manual,First,20.77,1248,88.76,7,6.9
2014,118000,Diesel,Manual,First,12.8,2494,102,7,10.75
2007,72000,Petrol,Manual,Third,17,1086, ,5,0.95
2016,33915,Petrol,Manual,First,17.8,1497,117.3,5,8.09
2014,82002,Diesel,Automatic,First,17.05,1995,184,5,18.5
2017,33000,Diesel,Manual,First,24,1120,70,5,4.75
2016,34000,Diesel,Manual,First,28.09,1248,88.5,5,8.45
2012,55000,Diesel,Manual,First,20.5,1598,103.6,5,3.5
2006,160538,Diesel,Manual,First,13.1,1493,82,5,1.8
2014,60000,Diesel,Manual,Second,19.91,1498,103.6,5,3.7
2017,49575,Petrol,Manual,First,18.7,1199,88.7,5,7.17
2010,83000,Petrol,Manual,First,19.81,1086,68.05,5,1.75
2018,51346,Diesel,Automatic,First,16.38,1995,183,5,21.99
2017,43000,Diesel,Manual,First,13.68,2393,147.8,7,18.65
2011,35000,Petrol,Manual,Third,19.7,796,35,5,1.85
2017,27872,Petrol,Manual,Second,20.4,1197,81.8,5,5.95
2014,16514,Petrol,Manual,First,18.9,1197,82,5,3.75
2012,120000,Diesel,Manual,First,22.9,1248,74,5,3.75
2008,143275,Diesel,Manual,First,22,1582,126.2,5,2.6
2006,99000,Petrol,Manual,First,,1086, ,5,1.75
2010,52000,Petrol,Manual,First,17,1197,80,5,2.8
2017,29819,Diesel,Automatic,First,11.57,2987,254.79,5,61.29
2014,57000,Diesel,Manual,Second,15.8,2148,170,5,18
2014,88500,Diesel,Manual,First,23.2,1248,73.94,5,4.35
2016,28000,Diesel,Manual,First,19.67,1582,126.2,5,13.75
2010,67000,Petrol,Manual,First,19,998,66.1,5,2
2016,26000,Diesel,Manual,First,19.64,1461,108.45,5,10
2010,120000,Diesel,Manual,First,17.8,1248,76,5,1.65
2017,51982,Diesel,Automatic,First,16.55,2993,258,5,45.77
2010,36000,Petrol,Manual,Second,20.36,1197,78.9,5,3.25
2016,47000,Diesel,Manual,First,12.8,2494,102,7,12.8
2002,60000,Petrol,Manual,Third,17.3,993,60,5,0.55
2018,31025,Diesel,Manual,First,28.4,1248,74,5,7.15
2013,105000,Diesel,Manual,Second,12.05,2179,120,8,7
2017,121900,Diesel,Manual,First,22.95,1248,74,5,3.75
2017,22695,Petrol,Manual,First,18.88,999,123.24,5,8.5
2012,73000,Diesel,Manual,First,23.4,1248,74,5,4.35
2016,32227,Petrol,Manual,First,22.74,796,47.3,5,3.26
2011,55000,Petrol,Manual,First,17,1497,118,5,4.21
2018,11287,Diesel,Automatic,First,12.07,2967,241.4,7,70.36
2009,48000,Diesel,Automatic,Second,17,1896,105,5,2.95
2012,54308,Petrol,Manual,First,17.1,1591,121.3,5,4.28
2009,78442,Petrol,Automatic,First,16.8,1497,118,5,3.57
2013,46000,Diesel,Manual,First,21.9,1396,88.8,5,3.11
2014,45051,Petrol,Automatic,First,15,1396,98.6,5,5.96
2011,69000,Diesel,Manual,First,20.54,1598,103.6,5,4.7
2014,49000,Petrol,Manual,First,17.4,1497,117.3,5,6.9
2018,45000,Diesel,Manual,First,22.95,1248,74,5,5.25
2015,64000,Diesel,Automatic,First,18.48,1995,177,5,28
2009,60000,Petrol,Manual,First,18.9,1061,67,5,1.35
2015,62178,Petrol,Manual,First,18.2,1199,88.7,5,4.85
2012,58006,Diesel,Manual,First,15,1896,105,5,6.7
2010,74000,Petrol,Manual,First,20.36,1197,78.9,5,3.1
2015,77771,Diesel,Automatic,First,19.27,2143,170,5,18.64
2012,45275,Petrol,Manual,First,20.36,1197,78.9,5,2.8
2016,48000,Diesel,Manual,First,13.68,2393,147.8,7,20.25
2015,31652,Diesel,Automatic,First,17.68,1968,174.33,5,26.78
2010,109000,Diesel,Manual,Second,12.99,2494,100.6,7,8.26
2015,31978,Petrol,Manual,First,16.47,1198,73.9,5,3.89
2011,70000,Petrol,Manual,First,20.92,998,67.1,5,2.1
2017,15000,Petrol,Automatic,First,18,1497,117.3,5,12.69
2013,59138,Diesel,Manual,First,17,1405,70,5,2.58
2014,61726,Diesel,Automatic,First,17.68,1968,174.33,5,20.77
2015,48000,Diesel,Automatic,First,17.9,2143,136,5,20.26
2006,58000,Petrol,Manual,Second,,1086, ,5,1.5
2011,60020,Diesel,Manual,First,17.8,1248, ,5,2.5
2014,77815,Petrol,Automatic,First,23.1,998,67.04,5,4.25
2017,29000,Diesel,Automatic,First,17.9,2143,201.15,5,57
2017,44000,Diesel,Automatic,First,12.7,2179,187.7,5,44
2011,108626,Diesel,Manual,First,20.54,1598,103.6,5,3.65
2012,71791,Petrol,Manual,First,14,796,35,5,2.05
2012,91931,Petrol,Manual,First,18.5,1198,86.8,5,3.13
2000,158000,Diesel,Manual,Second,14.07,2956,83.1,7,1.5
2012,91183,Diesel,Manual,First,18,1248,75,5,2.85
2012,65000,Petrol,Manual,First,18.9,998,67.1,5,2.65
2015,88428,Diesel,Manual,First,16,2179,140,7,10.6
2008,138000,Diesel,Manual,Second,17.1,1396,70,5,1.25
2018,18000,Petrol,Manual,First,16.02,1373,93.7,7,8.25
2011,60000,Petrol,Automatic,First,11.7,2354,177.6,5,4.45
2012,48000,Diesel,Manual,First,19.3,1248,73.9,5,3.7
2009,160000,Diesel,Manual,First,17.8,1399,68,5,2.8
2008,40000,Petrol,Manual,First,17.7,1497,78,5,1.8
2014,51495,Diesel,Automatic,First,17.68,1968,174.33,5,21.95
2011,30000,Diesel,Automatic,First,9.52,2993,313,4,49
2017,97430,Diesel,Automatic,First,14.75,2967,245,7,62.67
2008,42496,,Manual,First,,998,67.1,5,1.4
2012,83000,Diesel,Manual,First,23,1396,90,5,5.5
2009,37000,Petrol,Automatic,Third,16.95,1197,78.9,5,2.95
2016,28503,Petrol,Automatic,First,19,1199,88.7,5,6.86
2015,76496,Diesel,Manual,First,25.2,1248,74,5,6.15
2011,79152,Petrol,Manual,Second,18.5,1197,82.85,5,3.3
2011,32000,Petrol,Manual,First,16.47,1198,73.9,5,2.55
2009,35000,Petrol,Manual,First,19.7,796,46.3,5,1.5
2004,105000,Petrol,Automatic,Second,11.3,1794,125,5,2.5
2006,56000,Petrol,Manual,Second,19.7,796,46.3,5,1.4
2012,73000,Diesel,Manual,First,21.12,1248,88.8,5,3.4
2012,38000,Petrol,Manual,First,19.7,796,46.3,5,2.25
2013,775000,Diesel,Automatic,First,19.3,1968,141,5,7.5
2008,80000,Petrol,Automatic,First,11.3,1794,125,5,2.8
2016,24973,Petrol,Manual,First,18.6,1197,81.83,5,7.66
2016,45000,Diesel,Manual,First,24.3,1248,88.5,5,7.15
2010,87430,Petrol,Manual,First,17,1497,118,5,3.5
2014,133944,Diesel,Manual,Second,18,1248,75,5,3.5
2013,57000,Diesel,Manual,First,25.8,1498,98.6,5,3.45
2016,27904,Petrol,Manual,First,21.1,814,55.2,5,3.55
2015,30717,Diesel,Automatic,Second,21.76,1995,190,5,25.99
2012,80000,Diesel,Manual,First,22.32,1582,126.32,5,5.25
2013,47304,Diesel,Manual,First,21.02,1248,88.8,5,2.9
2005,100000,Petrol,Automatic,First,14.45,1984,227,5,2.05
2017,30000,Petrol,Manual,First,24.07,998,67.1,5,3.75
2014,68000,Diesel,Manual,First,22.7,1498,89.84,5,6.75
2011,21000,Petrol,Manual,Second,18,995,62,5,0.95
2017,21000,Diesel,Automatic,First,19.33,1999,177,5,52
2007,119000,Petrol,Manual,Third,13.1,1997,141.1,5,3.91
2019,13747,Petrol,Automatic,First,14.67,1798,177.46,5,27.3
2009,620000,Petrol,Manual,First,20.36,1197,78.9,5,2.7
2013,70000,Diesel,Manual,First,22.9,1248,74,5,3.5
2016,18000,Petrol,Automatic,First,18.5,1197,83.14,5,6.2
2011,83000,Diesel,Manual,First,23.08,1461,63.1,5,2.75
2015,130000,Diesel,Manual,First,23.4,1248,74,5,3.25
2012,63400,Diesel,Manual,First,17.8,1399,67,5,3.25
2003,65000,Petrol,Manual,First,17.3,993,60,5,0.65
2017,8350,Petrol,Manual,First,13.8,1998,192,5,35
2014,45000,Diesel,Manual,First,23.59,1364,67.05,5,3.25
2018,26200,Petrol,Manual,First,24.7,796,47.3,5,2.9
2011,11000,Petrol,Manual,Third,18.9,796,47,5,2.9
2009,90000,Diesel,Automatic,Second,11,2993,235,5,17.75
2015,74000,Petrol,Automatic,Second,11.07,2496,179.5,5,8.25
2015,37081,Petrol,Automatic,First,18.9,1197,82,5,5.77
2017,39000,Diesel,Manual,First,24.3,1248,88.5,5,9.49
2008,99000,Diesel,Automatic,Third,12.07,2967,241.4,7,12.95
2015,38000,Diesel,Automatic,First,17.9,2143,136,5,20
2007,72000,Petrol,Manual,Third,16.1,796,37,4,1
2015,93000,Diesel,Manual,Second,20.45,1461,83.8,5,7.1
2017,5900,Diesel,Manual,First,21.43,1364,87.2,5,16.5
2014,25000,Diesel,Manual,First,15.8,2148,170,5,26
2010,68000,Diesel,Manual,Second,21.1,1248,73.9,5,3.2
2017,35676,Petrol,Automatic,First,16,1497,117.3,7,9.48
2015,74310,Diesel,Manual,First,24.4,1120,71,5,4
2014,59364,Diesel,Automatic,First,14.21,2143,203,5,26.5
2014,41380,Petrol,Automatic,Second,14.8,1595,120.7,5,11.77
2017,33900,Diesel,Automatic,First,15,2143,204,5,37
2016,28000,Petrol,Manual,First,17.8,1497,117.3,5,8.75
2007,50958,Petrol,Manual,First,17,1086, ,5,1.95
2011,93982,Petrol,Manual,First,17,1497,118,5,3.75
2010,95000,Petrol,Manual,First,16.2,1599,103.2,5,2.5
2017,9000,Petrol,Automatic,First,13.5,1999,246.74,5,34.5
2015,52516,Petrol,Manual,First,18,1198,86.7,5,4.65
2015,20000,Petrol,Automatic,First,18.86,1598,122,4,32
2017,56451,Diesel,Automatic,First,13.5,2987,282,5,62.81
2014,37000,Petrol,Manual,First,21.1,814,55.2,5,3.25
2014,17400,Petrol,Manual,First,20.51,998,67.04,5,3.1
2011,90207,Diesel,Manual,First,21.1,1248,73.9,5,3.91
2011,89616,Diesel,Automatic,First,16.07,1995,181,5,11
2014,85000,Diesel,Manual,First,13.49,2179,138.03,5,3.5
2014,79271,Diesel,Automatic,First,20.38,1968,143,5,16.5
2012,56000,Diesel,Automatic,First,12.7,2179,187.7,5,30
2010,85001,Diesel,Automatic,Second,12,2987,224,7,28
2018,12000,Diesel,Automatic,First,13.5,2477,175.56,7,28
2010,125000,Petrol,Manual,First,19.7,796,46.3,5,0.92
2013,53000,Petrol,Manual,First,14,1061,64,5,2.75
2017,34990,Diesel,Automatic,First,12.7,2179,187.7,5,53.83
2011,49768,Petrol,Manual,Second,17.01,1591,121.3,5,4.95
2013,56000,Diesel,Automatic,First,16.73,2993,218,5,33.5
2013,75000,Diesel,Automatic,First,14.74,2993,270.9,5,27.95
2010,57000,Petrol,Automatic,First,13.7,1798,157.75,5,7.25
2017,37542,Diesel,Automatic,First,15.73,1968,174.33,5,25.71
2014,95649,Diesel,Automatic,First,12.7,2179,187.7,5,29.67
2013,35299,Diesel,Automatic,First,14.84,2143,170,5,19
2017,28464,Diesel,Manual,First,15.4,2179,120,7,13.05
2015,41000,Diesel,Automatic,First,21.76,1995,190,5,25.5
2017,9000,Petrol,Manual,First,15.4,1497,117.3,7,8.5
2010,92098,Diesel,Automatic,Second,16,2400,215,5,7.25
2005,5834,Petrol,Manual,First,13.2,1495,94,5,0.8
2017,40250,Petrol,Manual,First,17.19,1197,81.86,5,6.9
2018,22397,Petrol,Automatic,First,11.5,2996,367,5,70.99
2015,20800,Petrol,Manual,Second,21.1,814,55.2,5,2.25
